-2.64 7.36 0.0504022
-2.64 7.58 0.0704323
-2.64 7.8 0.0873776
-2.64 8.02 0.101558
-2.64 8.24 0.112813
-2.64 8.46 0.120419
-2.64 8.68 0.122607
-2.64 8.9 0.115816
-2.64 9.12 0.0975069
-2.64 9.34 0.0733794
-2.64 9.56 0.0490357
-2.64 9.78 0.0254013
-2.64 10 0.00223207

-2.52 -1 -0.592791
-2.52 -0.78 -0.569326
-2.52 -0.56 -0.546739
-2.52 -0.34 -0.525131
-2.52 -0.12 -0.504578
-2.52 0.1 -0.485117
-2.52 0.32 -0.466744
-2.52 0.54 -0.449404
-2.52 0.76 -0.433005
-2.52 0.98 -0.41742
-2.52 1.2 -0.402504
-2.52 1.42 -0.388108
-2.52 1.64 -0.374085
-2.52 1.86 -0.360304
-2.52 2.08 -0.346648
-2.52 2.3 -0.333018
-2.52 2.52 -0.319329
-2.52 2.74 -0.305515
-2.52 2.96 -0.291516
-2.52 3.18 -0.277285
-2.52 3.4 -0.262778
-2.52 3.62 -0.247955
-2.52 3.84 -0.232777
-2.52 4.06 -0.217204
-2.52 4.28 -0.201191
-2.52 4.5 -0.184685
-2.52 4.72 -0.167621
-2.52 4.94 -0.149917
-2.52 5.16 -0.131459
-2.52 5.38 -0.11209
-2.52 5.6 -0.0915701
-2.52 5.82 -0.069499
-2.52 6.04 -0.0450944
-2.52 6.26 -0.0160882
-2.52 6.48 0.0216733
-2.52 6.7 0.0484166
-2.52 6.92 0.0703561
-2.52 7.14 0.0892474
-2.52 7.36 0.105708
-2.52 7.58 0.119976
-2.52 7.8 0.132061
-2.52 8.02 0.141764
-2.52 8.24 0.148607
-2.52 8.46 0.151652
-2.52 8.68 0.149218
-2.52 8.9 0.138934
-2.52 9.12 0.120013
-2.52 9.34 0.0959891
-2.52 9.56 0.0708233
-2.52 9.78 0.0459269
-2.52 10 0.0214433

-2.4 -1 -0.578833
-2.4 -0.78 -0.55453
-2.4 -0.56 -0.531104
-2.4 -0.34 -0.508671
-2.4 -0.12 -0.48732
-2.4 0.1 -0.467097
-2.4 0.32 -0.447998
-2.4 0.54 -0.429963
-2.4 0.76 -0.412885
-2.4 0.98 -0.396623
-2.4 1.2 -0.381012
-2.4 1.42 -0.365885
-2.4 1.64 -0.351083
-2.4 1.86 -0.336462
-2.4 2.08 -0.321898
-2.4 2.3 -0.307284
-2.4 2.52 -0.292533
-2.4 2.74 -0.277572
-2.4 2.96 -0.262336
-2.4 3.18 -0.246769
-2.4 3.4 -0.230817
-2.4 3.62 -0.214425
-2.4 3.84 -0.197535
-2.4 4.06 -0.180078
-2.4 4.28 -0.161969
-2.4 4.5 -0.143099
-2.4 4.72 -0.123316
-2.4 4.94 -0.102399
-2.4 5.16 -0.0799966
-2.4 5.38 -0.0554627
-2.4 5.6 -0.0272432
